species,phylum,count
Species152,Firmicutes,277
Species153,Basidiomycota,453
Species154,Firmicutes,271
Species155,Ginkgophyta,354
Species156,Bryophyta,199
Species157,Annelida,45
Species158,Firmicutes,28
Species159,Porifera,357
Species160,Cyanobacteria,465
Species161,Chytridiomycota,377
Species162,Arthropoda,100
Species163,Ascomycota,62
Species164,Arthropoda,160
Species165,Euglenozoa,119
Species166,Ciliophora,204
Species167,Basidiomycota,397
Species168,Cyanobacteria,262
Species169,Cyanobacteria,383
Species170,Proteobacteria,371
Species171,Glomeromycota,33
Species172,Firmicutes,403
Species173,Mollusca,211
Species174,Nematoda,395
Species175,Euglenozoa,223
Species176,Ascomycota,55
Species177,Porifera,35
Species178,Bryophyta,87
Species179,Glomeromycota,282
Species180,Glomeromycota,402
Species181,Euglenozoa,180
Species182,Ginkgophyta,492
Species183,Porifera,33
Species184,Pteridophyta,250
Species185,Glomeromycota,427
Species186,Annelida,223
Species187,Euglenozoa,349
Species188,Glomeromycota,146
Species189,Annelida,186
Species190,Proteobacteria,457
Species191,Porifera,9
Species192,Ciliophora,142
Species193,Arthropoda,141
Species194,Firmicutes,413
Species195,Arthropoda,149
Species196,Chytridiomycota,266
Species197,Chytridiomycota,416
Species198,Mollusca,375
Species199,Proteobacteria,56
Species200,Actinobacteria,134
Species201,Ascomycota,390
Species202,Chytridiomycota,442
Species203,Ascomycota,90
Species204,Glomeromycota,191
Species205,Annelida,278
Species206,Arthropoda,230
Species207,Ascomycota,414
Species208,Chordata,33
Species209,Euglenozoa,252
Species210,Proteobacteria,31
Species211,Actinobacteria,338
Species212,Mollusca,205
Species213,Pteridophyta,487
Species214,Pteridophyta,36
Species215,Arthropoda,99
Species216,Ciliophora,434
Species217,Ascomycota,215
Species218,Pteridophyta,242
Species219,Chordata,95
Species220,Firmicutes,70
Species221,Arthropoda,84
Species222,Arthropoda,32
Species223,Actinobacteria,315
Species224,Cyanobacteria,80
Species225,Mollusca,446
Species226,Mollusca,207
Species227,Pteridophyta,219
Species228,Ascomycota,84
Species229,Glomeromycota,487
Species230,Actinobacteria,89
Species231,Basidiomycota,327
Species232,Nematoda,62
Species233,Bryophyta,245
Species234,Cyanobacteria,205
Species235,Bacteroidetes,66
Species236,Arthropoda,317
Species237,Chordata,395
Species238,Ascomycota,149
Species239,Chytridiomycota,166
Species240,Ginkgophyta,268
Species241,Ciliophora,430
Species242,Mollusca,365
Species243,Basidiomycota,42
Species244,Ascomycota,22
Species245,Arthropoda,125
Species246,Basidiomycota,115
Species247,Cyanobacteria,481
Species248,Actinobacteria,249
Species249,Glomeromycota,336
Species250,Annelida,70
Species251,Annelida,23
Species252,Cyanobacteria,223
Species253,Pteridophyta,318
Species254,Actinobacteria,238
Species255,Chordata,170
Species256,Arthropoda,401
Species257,Proteobacteria,372
Species258,Arthropoda,376
Species259,Chytridiomycota,132
Species260,Euglenozoa,275
Species261,Arthropoda,133
Species262,Firmicutes,331
Species263,Annelida,432
Species264,Arthropoda,233
Species265,Chordata,83
Species266,Mollusca,351
Species267,Cyanobacteria,278
Species268,Nematoda,241
Species269,Euglenozoa,90
Species270,Bryophyta,210
Species271,Chytridiomycota,118
Species272,Porifera,341
Species273,Ginkgophyta,103
Species274,Annelida,36
Species275,Firmicutes,18
Species276,Basidiomycota,149
Species277,Actinobacteria,29
Species278,Porifera,357
Species279,Ascomycota,34
Species280,Euglenozoa,108
Species281,Ascomycota,224
Species282,Annelida,117
Species283,Ciliophora,182
Species284,Euglenozoa,32
Species285,Annelida,292
Species286,Ginkgophyta,389
Species287,Arthropoda,70
Species288,Annelida,118
Species289,Pteridophyta,303
Species290,Ciliophora,213
Species291,Chytridiomycota,481
Species292,Bacteroidetes,420
Species293,Bryophyta,376
Species294,Glomeromycota,174
Species295,Chordata,456
Species296,Euglenozoa,231
Species297,Mollusca,175
Species298,Chordata,58
Species299,Basidiomycota,278
Species300,Chordata,103
Species301,Glomeromycota,239
Species302,Arthropoda,161
Species303,Bryophyta,414
Species304,Bacteroidetes,300
Species305,Ascomycota,239
Species306,Ascomycota,249
Species307,Glomeromycota,238
Species308,Glomeromycota,93
Species309,Arthropoda,55
Species310,Chordata,397
Species311,Pteridophyta,82
Species312,Bacteroidetes,312
Species313,Annelida,229
Species314,Bacteroidetes,63
Species315,Actinobacteria,366
Species316,Proteobacteria,311
Species317,Firmicutes,136
Species318,Chytridiomycota,347
Species319,Proteobacteria,445
Species320,Ginkgophyta,287
Species321,Actinobacteria,56
Species322,Arthropoda,490
Species323,Basidiomycota,237
Species324,Euglenozoa,480
Species325,Cyanobacteria,300
Species326,Porifera,321
Species327,Cyanobacteria,449
Species328,Nematoda,176
Species329,Chordata,147
Species330,Mollusca,227
Species331,Ginkgophyta,345
Species332,Bryophyta,13
Species333,Annelida,196
Species334,Pteridophyta,87
Species335,Actinobacteria,125
Species336,Euglenozoa,121
Species337,Bryophyta,151
Species338,Ginkgophyta,311
Species339,Pteridophyta,458
Species340,Arthropoda,6
Species341,Annelida,129
Species342,Glomeromycota,371
Species343,Pteridophyta,316
Species344,Actinobacteria,451
Species345,Firmicutes,192
Species346,Proteobacteria,393
Species347,Bacteroidetes,456
Species348,Nematoda,144
Species349,Glomeromycota,106
Species350,Pteridophyta,176
Species351,Ascomycota,216
Species352,Firmicutes,251
Species353,Ascomycota,348
Species354,Porifera,52
Species355,Bryophyta,385
Species356,Mollusca,158
Species357,Ascomycota,398
Species358,Cyanobacteria,55
Species359,Chytridiomycota,456
Species360,Annelida,61
Species361,Mollusca,353
Species362,Mollusca,97
Species363,Bacteroidetes,481
Species364,Nematoda,340
Species365,Ginkgophyta,199
Species366,Basidiomycota,447
Species367,Cyanobacteria,179
Species368,Glomeromycota,96
Species369,Ginkgophyta,119
Species370,Porifera,187
Species371,Glomeromycota,253
Species372,Basidiomycota,165
Species373,Chytridiomycota,481
Species374,Basidiomycota,265
Species375,Porifera,139
Species376,Ciliophora,190
Species377,Chordata,139
Species378,Proteobacteria,297
Species379,Glomeromycota,38
Species380,Firmicutes,241
Species381,Proteobacteria,104
Species382,Mollusca,414
Species383,Pteridophyta,382
Species384,Glomeromycota,368
Species385,Chordata,479
Species386,Annelida,111
Species387,Nematoda,340
Species388,Chytridiomycota,60
Species389,Basidiomycota,474
Species390,Ascomycota,314
Species391,Porifera,421
Species392,Pteridophyta,470
Species393,Proteobacteria,448
Species394,Mollusca,305
Species395,Proteobacteria,295
Species396,Bryophyta,353
Species397,Cyanobacteria,208
Species398,Actinobacteria,26
Species399,Bacteroidetes,285
Species400,Chordata,178
Species401,Bacteroidetes,463
Species402,Basidiomycota,221
Species403,Glomeromycota,301
Species404,Glomeromycota,232
Species405,Nematoda,304
Species406,Porifera,23
Species407,Ginkgophyta,140
Species408,Mollusca,401
Species409,Chordata,482
Species410,Chordata,248
Species411,Bacteroidetes,197
Species412,Bryophyta,461
Species413,Nematoda,285
Species414,Actinobacteria,407
Species415,Chytridiomycota,431
Species416,Basidiomycota,122
Species417,Pteridophyta,130
Species418,Glomeromycota,481
Species419,Basidiomycota,153
Species420,Firmicutes,432
Species421,Ginkgophyta,332
Species422,Actinobacteria,254
Species423,Ginkgophyta,20
Species424,Proteobacteria,459
Species425,Proteobacteria,381
Species426,Mollusca,456
Species427,Bryophyta,484
Species428,Annelida,388
Species429,Chytridiomycota,255
Species430,Glomeromycota,231
Species431,Cyanobacteria,372
Species432,Ginkgophyta,352
Species433,Proteobacteria,145
Species434,Proteobacteria,217
Species435,Proteobacteria,320
Species436,Arthropoda,205
Species437,Porifera,422
Species438,Annelida,142
Species439,Ginkgophyta,55
Species440,Chordata,414
Species441,Firmicutes,484
Species442,Bryophyta,217
Species443,Actinobacteria,332
Species444,Firmicutes,403
Species445,Glomeromycota,464
Species446,Ciliophora,390
Species447,Euglenozoa,57
Species448,Porifera,498
Species449,Ascomycota,320
Species450,Bacteroidetes,193
Species451,Ginkgophyta,77
Species452,Chytridiomycota,249
Species453,Ginkgophyta,400
Species454,Bryophyta,60
Species455,Chytridiomycota,373
Species456,Glomeromycota,40
Species457,Bacteroidetes,248
Species458,Ginkgophyta,81
Species459,Ascomycota,356
Species460,Ciliophora,313
Species461,Basidiomycota,275
Species462,Chordata,273
Species463,Actinobacteria,386
Species464,Basidiomycota,191
Species465,Bacteroidetes,401
Species466,Mollusca,445
Species467,Ginkgophyta,485
Species468,Pteridophyta,197
Species469,Ascomycota,453
Species470,Annelida,494
Species471,Chordata,426
Species472,Ginkgophyta,181
Species473,Cyanobacteria,27
Species474,Bryophyta,73
Species475,Basidiomycota,258
Species476,Actinobacteria,82
Species477,Porifera,249
Species478,Proteobacteria,457
Species479,Bryophyta,299
Species480,Euglenozoa,169
Species481,Euglenozoa,26
Species482,Nematoda,285
Species483,Porifera,324
Species484,Bacteroidetes,296
Species485,Basidiomycota,34
Species486,Cyanobacteria,175
Species487,Firmicutes,460
Species488,Chordata,178
Species489,Arthropoda,138
Species490,Mollusca,498
Species491,Cyanobacteria,289
Species492,Bryophyta,129
Species493,Nematoda,459
Species494,Ciliophora,415
Species495,Ascomycota,488
Species496,Bacteroidetes,204
Species497,Basidiomycota,469
Species498,Firmicutes,407
Species499,Annelida,416
Species500,Bacteroidetes,65
Species501,Proteobacteria,445
Species502,Arthropoda,238
Species503,Pteridophyta,67
Species504,Basidiomycota,122
Species505,Ascomycota,124
Species506,Porifera,444
Species507,Porifera,154
Species508,Nematoda,59
Species509,Firmicutes,34
Species510,Glomeromycota,388
Species511,Ginkgophyta,458
Species512,Arthropoda,355
Species513,Chytridiomycota,422
Species514,Basidiomycota,316
Species515,Ciliophora,47
Species516,Pteridophyta,226
Species517,Cyanobacteria,333
Species518,Bacteroidetes,169
Species519,Chytridiomycota,397
Species520,Ascomycota,398
Species521,Ascomycota,234
Species522,Ciliophora,396
Species523,Firmicutes,491
Species524,Pteridophyta,78
Species525,Actinobacteria,83
Species526,Actinobacteria,325
Species527,Ciliophora,220
Species528,Ciliophora,423
Species529,Euglenozoa,42
Species530,Bacteroidetes,369
Species531,Ascomycota,143
Species532,Mollusca,54
Species533,Glomeromycota,173
Species534,Nematoda,462
Species535,Actinobacteria,412
Species536,Ginkgophyta,347
Species537,Mollusca,18
Species538,Ascomycota,312
Species539,Cyanobacteria,9
Species540,Pteridophyta,170
Species541,Bacteroidetes,366
Species542,Pteridophyta,410
Species543,Porifera,357
Species544,Firmicutes,31
Species545,Annelida,39
Species546,Chytridiomycota,77
Species547,Cyanobacteria,274
Species548,Actinobacteria,233
Species549,Ginkgophyta,301
Species550,Pteridophyta,213
Species551,Actinobacteria,117
Species552,Bacteroidetes,350
Species553,Basidiomycota,317
Species554,Actinobacteria,146
Species555,Bryophyta,242
Species556,Glomeromycota,147
Species557,Basidiomycota,381
Species558,Mollusca,405
Species559,Nematoda,372
Species560,Ascomycota,258
Species561,Bryophyta,47
Species562,Chordata,387
Species563,Porifera,268
Species564,Actinobacteria,160
Species565,Cyanobacteria,471
Species566,Euglenozoa,356
Species567,Cyanobacteria,464
Species568,Ascomycota,285
Species569,Arthropoda,351
Species570,Euglenozoa,54
Species571,Bryophyta,484
Species572,Ascomycota,82
Species573,Arthropoda,89
Species574,Cyanobacteria,401
Species575,Glomeromycota,486
Species576,Proteobacteria,322
Species577,Chordata,379
Species578,Mollusca,89
Species579,Cyanobacteria,306
Species580,Porifera,414
Species581,Ginkgophyta,397
Species582,Actinobacteria,23
Species583,Basidiomycota,492
Species584,Bacteroidetes,15
Species585,Mollusca,305
Species586,Pteridophyta,56
Species587,Bryophyta,70
Species588,Cyanobacteria,173
Species589,Pteridophyta,175
Species590,Chordata,116
Species591,Ciliophora,334
Species592,Bacteroidetes,467
Species593,Bryophyta,21
Species594,Glomeromycota,345
Species595,Ginkgophyta,169
Species596,Bryophyta,57
Species597,Cyanobacteria,59
Species598,Cyanobacteria,476
Species599,Euglenozoa,394
Species600,Bryophyta,123
Species601,Basidiomycota,328
Species602,Arthropoda,233
Species603,Chordata,92
Species604,Euglenozoa,296
Species605,Nematoda,106
Species606,Euglenozoa,131
Species607,Bryophyta,493
Species608,Ascomycota,350
Species609,Bacteroidetes,336
Species610,Firmicutes,308
Species611,Ciliophora,139
Species612,Proteobacteria,5
Species613,Basidiomycota,182
Species614,Ciliophora,416
Species615,Glomeromycota,408
Species616,Bryophyta,319
Species617,Basidiomycota,369
Species618,Porifera,257
Species619,Arthropoda,447
Species620,Glomeromycota,381
Species621,Chordata,332
Species622,Proteobacteria,17
Species623,Firmicutes,439
Species624,Bryophyta,228
Species625,Firmicutes,437
Species626,Porifera,416
Species627,Proteobacteria,355
Species628,Porifera,349
Species629,Proteobacteria,387
Species630,Chytridiomycota,246
Species631,Proteobacteria,88
Species632,Ginkgophyta,135
Species633,Ginkgophyta,147
Species634,Chytridiomycota,320
Species635,Glomeromycota,471
Species636,Bacteroidetes,464
Species637,Basidiomycota,209
Species638,Ciliophora,241
Species639,Ascomycota,179
Species640,Ascomycota,85
Species641,Proteobacteria,224
Species642,Arthropoda,44
Species643,Nematoda,478
Species644,Ascomycota,137
Species645,Ciliophora,85
Species646,Ascomycota,492
Species647,Basidiomycota,156
Species648,Glomeromycota,8
Species649,Firmicutes,348
Species650,Ascomycota,436
Species651,Bacteroidetes,266
Species652,Bacteroidetes,152
Species653,Euglenozoa,51
Species654,Chordata,452
Species655,Ginkgophyta,367
Species656,Pteridophyta,56
Species657,Ginkgophyta,194
Species658,Chytridiomycota,64
Species659,Bryophyta,291
Species660,Euglenozoa,232
Species661,Actinobacteria,140
Species662,Pteridophyta,499
Species663,Cyanobacteria,28
Species664,Nematoda,426
Species665,Mollusca,468
Species666,Cyanobacteria,99
Species667,Nematoda,330
Species668,Firmicutes,471
Species669,Firmicutes,366
Species670,Firmicutes,437
Species671,Arthropoda,253
Species672,Nematoda,85
Species673,Proteobacteria,65
Species674,Bacteroidetes,272
Species675,Nematoda,141
Species676,Bryophyta,291
Species677,Porifera,206
Species678,Ascomycota,82
Species679,Porifera,295
Species680,Pteridophyta,179
Species681,Actinobacteria,236
Species682,Porifera,372
Species683,Actinobacteria,470
Species684,Pteridophyta,366
Species685,Annelida,303
Species686,Pteridophyta,97
Species687,Cyanobacteria,122
Species688,Basidiomycota,109
Species689,Bacteroidetes,273
Species690,Arthropoda,151
Species691,Cyanobacteria,363
Species692,Chytridiomycota,23
Species693,Euglenozoa,446
Species694,Ascomycota,462
Species695,Firmicutes,374
Species696,Chytridiomycota,333
Species697,Cyanobacteria,90
Species698,Bryophyta,294
Species699,Chytridiomycota,434
Species700,Firmicutes,249
Species701,Ascomycota,334
Species702,Bacteroidetes,198
Species703,Chordata,210
Species704,Cyanobacteria,177
Species705,Firmicutes,384
Species706,Basidiomycota,134
Species707,Nematoda,205
Species708,Bryophyta,115
Species709,Ciliophora,227
Species710,Actinobacteria,336
Species711,Ginkgophyta,24
Species712,Ginkgophyta,235
Species713,Firmicutes,183
Species714,Ascomycota,328
Species715,Mollusca,424
Species716,Annelida,184
Species717,Pteridophyta,75
Species718,Ascomycota,363
Species719,Actinobacteria,254
Species720,Cyanobacteria,404
Species721,Glomeromycota,116
Species722,Cyanobacteria,166
Species723,Ascomycota,34
Species724,Ascomycota,108
Species725,Ciliophora,223
Species726,Glomeromycota,220
Species727,Nematoda,260
Species728,Euglenozoa,367
Species729,Ascomycota,478
Species730,Bryophyta,414
Species731,Bacteroidetes,465
Species732,Ciliophora,182
Species733,Bryophyta,160
Species734,Euglenozoa,287
Species735,Mollusca,323
Species736,Glomeromycota,13
Species737,Proteobacteria,309
Species738,Nematoda,128
Species739,Mollusca,12
Species740,Ginkgophyta,155
Species741,Euglenozoa,348
Species742,Ginkgophyta,146
Species743,Firmicutes,476
Species744,Cyanobacteria,267
Species745,Bryophyta,19
Species746,Euglenozoa,21
Species747,Basidiomycota,171
Species748,Firmicutes,362
Species749,Basidiomycota,121
Species750,Pteridophyta,108
Species751,Arthropoda,155
Species752,Pteridophyta,281
Species753,Actinobacteria,304
Species754,Cyanobacteria,180
Species755,Proteobacteria,279
Species756,Porifera,284
Species757,Arthropoda,167
Species758,Annelida,148
Species759,Mollusca,91
Species760,Bryophyta,89
Species761,Mollusca,38
Species762,Chordata,112
Species763,Ciliophora,184
Species764,Firmicutes,326
Species765,Nematoda,163
Species766,Proteobacteria,426
Species767,Ginkgophyta,182
Species768,Actinobacteria,76
Species769,Firmicutes,329
Species770,Basidiomycota,62
Species771,Ascomycota,209
Species772,Bryophyta,265
Species773,Proteobacteria,34
Species774,Porifera,27
Species775,Arthropoda,203
Species776,Pteridophyta,486
Species777,Basidiomycota,234
Species778,Bacteroidetes,97
Species779,Bryophyta,249
Species780,Pteridophyta,304
Species781,Nematoda,253
Species782,Porifera,44
Species783,Bryophyta,308
Species784,Bryophyta,162
Species785,Chytridiomycota,143
Species786,Actinobacteria,326
Species787,Chytridiomycota,45
Species788,Actinobacteria,185
Species789,Cyanobacteria,50
Species790,Pteridophyta,142
Species791,Chordata,405
Species792,Cyanobacteria,395
Species793,Glomeromycota,262
Species794,Bryophyta,250
Species795,Nematoda,71
Species796,Porifera,466
Species797,Basidiomycota,461
Species798,Pteridophyta,365
Species799,Chordata,279
Species800,Ascomycota,462
Species801,Porifera,481
Species802,Ginkgophyta,323
Species803,Annelida,473
Species804,Bryophyta,375
Species805,Nematoda,424
Species806,Ciliophora,230
Species807,Cyanobacteria,493
Species808,Ginkgophyta,64
Species809,Chordata,204
Species810,Ginkgophyta,393
Species811,Cyanobacteria,409
Species812,Proteobacteria,51
Species813,Actinobacteria,350
Species814,Firmicutes,487
Species815,Porifera,148
Species816,Chytridiomycota,438
Species817,Nematoda,484
Species818,Porifera,440
Species819,Actinobacteria,47
Species820,Basidiomycota,306
Species821,Chytridiomycota,77
Species822,Actinobacteria,87
Species823,Actinobacteria,104
Species824,Basidiomycota,244
Species825,Porifera,71
Species826,Porifera,120
Species827,Chytridiomycota,330
Species828,Pteridophyta,482
Species829,Actinobacteria,240
Species830,Bacteroidetes,303
Species831,Annelida,219
Species832,Basidiomycota,452
Species833,Arthropoda,397
Species834,Cyanobacteria,323
Species835,Firmicutes,143
Species836,Basidiomycota,272
Species837,Ginkgophyta,187
Species838,Bacteroidetes,281
Species839,Ciliophora,316
Species840,Glomeromycota,93
Species841,Nematoda,151
Species842,Pteridophyta,253
Species843,Cyanobacteria,379
Species844,Firmicutes,60
Species845,Euglenozoa,463
Species846,Arthropoda,261
Species847,Cyanobacteria,193
Species848,Porifera,443
Species849,Mollusca,490
Species850,Porifera,306
Species851,Mollusca,495
Species852,Bacteroidetes,64
Species853,Glomeromycota,327
Species854,Ginkgophyta,6
Species855,Euglenozoa,135
Species856,Ascomycota,186
Species857,Ginkgophyta,414
Species858,Bacteroidetes,307
Species859,Firmicutes,208
Species860,Arthropoda,204
Species861,Chytridiomycota,218
Species862,Chordata,364
Species863,Proteobacteria,387
Species864,Bryophyta,7
Species865,Proteobacteria,333
Species866,Chytridiomycota,295
Species867,Annelida,204
Species868,Annelida,31
Species869,Ginkgophyta,132
Species870,Glomeromycota,13
Species871,Bryophyta,286
Species872,Porifera,258
Species873,Proteobacteria,87
Species874,Arthropoda,31
Species875,Proteobacteria,488
Species876,Mollusca,256
Species877,Chordata,464
Species878,Ascomycota,133
Species879,Proteobacteria,285
Species880,Ciliophora,367
Species881,Bryophyta,173
Species882,Glomeromycota,364
Species883,Ascomycota,495
Species884,Actinobacteria,74
Species885,Porifera,63
Species886,Bacteroidetes,250
Species887,Chordata,102
Species888,Basidiomycota,57
Species889,Bryophyta,221
Species890,Basidiomycota,292
Species891,Cyanobacteria,170
Species892,Pteridophyta,70
Species893,Glomeromycota,429
Species894,Porifera,234
Species895,Arthropoda,139
Species896,Porifera,64
Species897,Actinobacteria,196
Species898,Ginkgophyta,260
Species899,Pteridophyta,154
Species900,Cyanobacteria,218
Species901,Ginkgophyta,487
Species902,Firmicutes,314
Species903,Arthropoda,431
Species904,Basidiomycota,183
Species905,Glomeromycota,69
Species906,Porifera,151
Species907,Ascomycota,280
Species908,Firmicutes,237
Species909,Annelida,48
Species910,Nematoda,87
Species911,Porifera,156
Species912,Ginkgophyta,405
Species913,Proteobacteria,257
Species914,Chordata,416
Species915,Glomeromycota,316
Species916,Basidiomycota,442
Species917,Ginkgophyta,310
Species918,Porifera,438
Species919,Actinobacteria,20
Species920,Bacteroidetes,236
Species921,Pteridophyta,85
Species922,Ciliophora,257
Species923,Glomeromycota,275
Species924,Ginkgophyta,136
Species925,Annelida,63
Species926,Chordata,25
Species927,Porifera,392
Species928,Arthropoda,1
Species929,Chordata,273
Species930,Basidiomycota,316
Species931,Pteridophyta,270
Species932,Euglenozoa,21
Species933,Proteobacteria,163
Species934,Bryophyta,46
Species935,Basidiomycota,395
Species936,Euglenozoa,269
Species937,Glomeromycota,154
Species938,Glomeromycota,433
Species939,Nematoda,474
Species940,Porifera,429
Species941,Pteridophyta,118
Species942,Pteridophyta,417
Species943,Porifera,44
Species944,Porifera,153
Species945,Porifera,241
Species946,Porifera,181
Species947,Annelida,481
Species948,Nematoda,9
Species949,Chytridiomycota,460
Species950,Ginkgophyta,91
Species951,Porifera,30
Species952,Bacteroidetes,33
Species953,Chytridiomycota,497
Species954,Nematoda,243
Species955,Bryophyta,103
Species956,Ciliophora,335
Species957,Glomeromycota,192
Species958,Annelida,248
Species959,Mollusca,397
Species960,Chordata,306
Species961,Nematoda,285
Species962,Ascomycota,111
Species963,Cyanobacteria,218
Species964,Pteridophyta,413
Species965,Annelida,409
Species966,Glomeromycota,171
Species967,Actinobacteria,261
Species968,Glomeromycota,62
Species969,Basidiomycota,298
Species970,Actinobacteria,69
Species971,Bacteroidetes,267
Species972,Ginkgophyta,117
Species973,Actinobacteria,200
Species974,Chytridiomycota,134
Species975,Chordata,448
Species976,Glomeromycota,250
Species977,Annelida,339
Species978,Pteridophyta,494
Species979,Firmicutes,418
Species980,Cyanobacteria,210
Species981,Ginkgophyta,219
Species982,Actinobacteria,401
Species983,Ascomycota,5
Species984,Pteridophyta,419
Species985,Basidiomycota,413
Species986,Annelida,248
Species987,Mollusca,288
Species988,Bryophyta,299
Species989,Firmicutes,195
Species990,Actinobacteria,12
Species991,Bacteroidetes,259
Species992,Ascomycota,9
Species993,Porifera,449
Species994,Chytridiomycota,227
Species995,Bryophyta,171
Species996,Chytridiomycota,149
Species997,Cyanobacteria,302
Species998,Glomeromycota,153
Species999,Bacteroidetes,27
Species1000,Ascomycota,172
